Rank_year,Rank_yearPrev,Company,Notes,Country,ArmsRevenue_year,ArmsRevenue_yearPrev,TotalRevenue_year,ArmsRevenue_pctTotRevenue_year,ArmsRevenue_yearPrev_constant2022Prices,Year
2,2,Raytheon Technologies,f,United States,39570.0,41850.0,67074,0.5899454334019143,45219.90072518591,2022
8,8,AVIC,g,China,20620.0,20110.0,82499,0.2499424235445278,19702.360596397775,2022
10,10,Rostec,h,Russia,16810.0,15550.0,30295,0.5548770424162403,18659.087068981516,2022
14,16,Airbus,i,Trans-European,12090.0,10850.0,61805,0.19561524148531673,10339.676276988837,2022
15,14,CASIC,g,China,11770.0,12870.0,37364,0.31500909966812973,12609.118889887588,2022
20,25,Amentum,g,United States,6560.0,5020.0,8750,0.7497142857142857,5424.2270403926705,2022
32,27,MBDA,i,Trans-European,4380.0,4960.0,4428,0.989159891598916,4726.709155194897,2022
44,45,KNDS,i,Trans-European,3200.0,3030.0,3366,0.9506833036244801,2887.4856331130118,2022
48,43,Hanwha Aerospace,j,South Korea,2780.0,3250.0,5561,0.4999100881136486,3036.938611507843,2022
49,51,Bechtel Corp.,g,United States,2740.0,2470.0,. .,. .,2668.8925876035646,2022
51,68,V2X,k,United States,2520.0,1630.0,2891,0.8716707021791767,1761.253003155389,2022
53,65,Parker-Hannifin Corp.,l,United States,2270.0,2635.0,19065,0.11906635195384212,2847.1789345487423,2022
56,49,General Atomics,g,United States,2140.0,2570.0,. .,. .,2776.9449190854907,2022
61,63,CNNC,g,China,1940.0,1810.0,39046,0.04968498693848281,1773.3104266275473,2022
72,61,Sierra Nevada Corp.,g,United States,1560.0,1860.0,1656,0.9420289855072463,2009.773365563818,2022
81,78,UkrOboronProm,m,Ukraine,1260.0,1400.0,1279,0.9851446442533229,1400.4642111831006,2022
82,83,Turkish Aerospace Industries,g,Türkiye,1260.0,1200.0,1557,0.8092485549132948,1109.2323568687468,2022
85,114,United Launch Alliance,g,United States,1070.0,630.0,1158,0.924006908462867,680.729688336132,2022
1,1,Lockheed Martin Corp.,United States,60340,58210,67044,0.9000059662311318,65198.77681619397,65852.08676079239,2021
2,2,Raytheon Technologies,United States,41850,36780,64388,0.6499658321426353,45219.90072518591,41608.65402958159,2021
3,3,Boeing,United States,33420,32740,62286,0.5365571717560929,36111.08918125957,37038.26353802341,2021
4,4,Northrop Grumman Corp.,United States,29880,30420,35667,0.8377491799142064,32286.0366467994,34413.68285970288,2021
5,5,General Dynamics Corp.,United States,27760,27230,38469,0.7216200057188905,29995.327219382576,30804.88442701214,2021
6,6,BAE Systems,United Kingdom,27490,25170,28321,0.9706578157550934,26886.744021915365,27077.500784925003,2021
7,7,NORINCO,China,21570,17930,81607,0.26431556116509614,21132.7656919095,18976.093465633054,2021
8,9,AVIC,China,20110,16980,80446,0.24998135395171917,19702.360596397775,17970.667431480717,2021
9,10,CASC,China,19100,16880,43408,0.44001105786951716,18712.833783749255,17864.833112096258,2021
10,8,Rostec,Russia,15550,17160,28031,0.5547429631479434,18659.087068981516,21563.55637223336,2021
11,11,CETC,China,14990,14610,55443,0.27036776509207655,14686.145466932006,15462.394062069096,2021
12,15,Leonardo,Italy,13870,11160,16716,0.8297439578846614,13414.27053885061,11407.760222560948,2021
13,12,L3Harris Technologies,United States,13360,14190,17814,0.7499719321881666,14435.791485985274,16052.930959210513,2021
14,14,CASIC,China,12870,11870,40846,0.31508593252705286,12609.118889887588,12562.533710934988,2021
15,16,CSSC,China,10870,9370,52653,0.20644597648756957,10649.65985494002,9916.675726323576,2021
16,13,Airbus,Trans-European,10850,11990,61671,0.1759335830455157,10339.676276988837,12138.603498737632,2021
17,17,Thales,France,9770,9050,19149,0.5102094104130764,9193.915567903643,8980.743646584526,2021
18,18,HII,United States,8570,8240,9524,0.8998320033599329,9260.084808001033,9321.786547138452,2021
19,19,Leidos,United States,8030,7340,13737,0.5845526679769965,8676.602217998634,8303.630249514106,2021
20,34,Dassault Aviation Group,France,6250,3720,8554,0.7306523263970073,5881.47106442147,3691.5321950601583,2021
21,23,CSGC,China,5910,5360,44363,0.13321912404481212,5790.201448270058,5672.719519006869,2021
22,22,Booz Allen Hamilton,United States,5600,5500,8364,0.6695361071257772,6050.930562987839,6222.066263259889,2021
23,21,Honeywell International,United States,5150,5790,34392,0.14974412654105607,5564.695071319174,6550.138848049955,2021
24,27,Safran,France,5050,4510,18043,0.27988693676217924,4752.228620052548,4475.48661282831,2021
